example_id,tweet_id,brand,text,golden_intent,predicted_intent,decision,reply,relevance_human,correctness_human,groundedness_human,helpfulness_human,safety_human,overall_human,relevance_judge,correctness_judge,groundedness_judge,helpfulness_judge,safety_judge,overall_judge,human_comments
1,1544356,AirAsiaSupport,@AirAsiaSupport hi! AirAsia delayed my flight and I did received an email on the changes but there is no link given on the email for,flight_travel_disruption,flight_travel_disruption,ESCALATE_HUMAN,"Hello, thank you for contacting AirAsiaSupport. Your request regarding flight travel disruption requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
2,2983770,SouthwestAir,@120944 @SouthwestAir Is there a way to update a boarding pass to include pre-check? (Forgot to enter KTN before checking in online.),flight_travel_disruption,flight_travel_disruption,ESCALATE_HUMAN,"Hello, thank you for contacting SouthwestAir. Your request regarding flight travel disruption requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
3,1550095,SouthwestAir,@SouthwestAir SWA 2971 how the hell do you have a delay for 10 min scheduled maintenance 5 hours before the scheduled flight. That shit should have been done first thing in the morning before the flights began.,flight_travel_disruption,flight_travel_disruption,ESCALATE_HUMAN,"Hello, thank you for contacting SouthwestAir. Your request regarding flight travel disruption requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
4,2986293,AirAsiaSupport,@AirAsiaSupport I am struggling with your online chat support. We need to rebook onto a Bali > Singapore flight. Preferably Wednesday or 502 or 504 on Thursday (11/30) so we can make our flight back to the US...,flight_travel_disruption,flight_travel_disruption,ESCALATE_HUMAN,"Hello, thank you for contacting AirAsiaSupport. Your request regarding flight travel disruption requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
5,2986425,British_Airways,@British_Airways great lost luggage site BA! Link you texted automatically goes to local language with no clearly visible option to switch.,flight_travel_disruption,flight_travel_disruption,ESCALATE_HUMAN,"Hello, thank you for contacting British_Airways. Your request regarding flight travel disruption requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
6,1550171,AmericanAir,"@AmericanAir just love to start my travels with a rude gate attendant, super awesome",flight_travel_disruption,flight_travel_disruption,ESCALATE_HUMAN,"Hello, thank you for contacting AmericanAir. Your request regarding flight travel disruption requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
7,787051,Delta,"First time flying @Delta, delayed an hour already. Should've just drove.",flight_travel_disruption,flight_travel_disruption,ESCALATE_HUMAN,"Hello, thank you for contacting Delta. Your request regarding flight travel disruption requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
21,1249,AskeBay,"@AskeBay need assistance. Bought item, due to be delivered Saturday. Never received item, despite being marked as delivered. No response from seller, delivery services cannot assist with lost/missing package. Please advise.",order_delivery_issue,order_delivery_issue,ESCALATE_HUMAN,"Hello, thank you for contacting AskeBay. Your request regarding order delivery issue requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
22,786422,Postmates_Help,Every time I order late night on postmates the driver always runs off with my food 👿,order_delivery_issue,order_delivery_issue,ESCALATE_HUMAN,"Hello, thank you for contacting Postmates_Help. Your request regarding order delivery issue requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
41,2682,AppleSupport,@AppleSupport ios 11.0.3 on 6s. Cannot adjust alarm volume so waking up all in my house and neighbours despite ringer being set to minimum!,technical_hardware_software_bug,technical_hardware_software_bug,ESCALATE_HUMAN,"Hello, thank you for contacting AppleSupport. Your request regarding technical hardware software bug requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
42,1550219,AppleSupport,I half asleep did the update on my iPhone by accident and the battery life sucks. Went from 73% to 68% from opening an app. @115858 wtf?,technical_hardware_software_bug,technical_hardware_software_bug,AUTO_HANDLE,"Hi there, we'd like to help troubleshoot this issue. Please ensure your app and device OS are updated to the latest version, and try restarting your device. If the issue persists, please DM AppleSupport with your device model.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Clear actionable steps provided; perfectly aligned with brand policy.
61,789246,AmazonHelp,"@AmazonHelp hey guys, restaurants promo code - never used and expires in December. Not working? Why's that?",billing_payment_dispute,billing_payment_dispute,ESCALATE_HUMAN,"Hello, thank you for contacting AmazonHelp. Your request regarding billing payment dispute requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
62,2270925,CoxHelp,@CoxHelp absolutely ridiculous the amount of money charged per month and so many outages and issues ..once again no cable no internet,billing_payment_dispute,service_outage_connectivity,ESCALATE_HUMAN,"Hello, thank you for contacting CoxHelp. Your request regarding service outage connectivity requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
81,1226,AskeBay,"Change your @115931 password and turn on two-step verification or else you, too, may receive a paypal receipt for a van reversing camera with a random delivery address in Walthamstow.",account_access_security,account_access_security,ESCALATE_HUMAN,"Hello, thank you for contacting AskeBay. Your request regarding account access security requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
82,785184,Uber_Support,"Yesterday I tweeted this. I decided to tweet the rest of my convo with @115873 Support, since my account has been hacked. https://t.co/NaLNlVU1Gm",account_access_security,account_access_security,ESCALATE_HUMAN,"Hello, thank you for contacting Uber_Support. Your request regarding account access security requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
101,2987813,ATT,@ATT where you pay a lot of money for no internet...,service_outage_connectivity,service_outage_connectivity,ESCALATE_HUMAN,"Hello, thank you for contacting ATT. Your request regarding service outage connectivity requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
102,7745,sprintcare,@sprintcare is there an outage in the Minneapolis/St. Paul Minnesota area?,service_outage_connectivity,service_outage_connectivity,AUTO_HANDLE,"Hello, thank you for reaching out to sprintcare. We have received your inquiry. Please send us a Direct Message with your details so we can look into this and assist you promptly.",3.0,5.0,5.0,5.0,5.0,4.6,3.0,5.0,5.0,5.0,5.0,4.6,Clear actionable steps provided; perfectly aligned with brand policy.
121,2268032,SW_Help,"@SW_Help hiya, I bought a ticket that wasn’t valid until 11:16 this morning and as I’m running late had to get another ticket, is it possible to get a refund on the first ticket please?",subscription_cancellation_refund,subscription_cancellation_refund,ESCALATE_HUMAN,"Hello, thank you for contacting SW_Help. Your request regarding subscription cancellation refund requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
122,2983785,DropboxSupport,"@DropboxSupport I was just charged a renewal fee, but wasn't notified by email. I need to cancel and have you refund the money. can you help or is there a phone number that I can use?",subscription_cancellation_refund,subscription_cancellation_refund,ESCALATE_HUMAN,"Hello, thank you for contacting DropboxSupport. Your request regarding subscription cancellation refund requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
141,2984090,AldiUK,@AldiUK when are you getting your chocolate Irish cream liquor in stock?,product_inquiry_availability,product_inquiry_availability,AUTO_HANDLE,Hello! Thank you for your inquiry with AldiUK. Stock availability and store hours vary by location. Please check our online store locator or DM us your nearest branch so we can confirm current inventory for you.,5.0,5.0,5.0,4.0,5.0,4.8,5.0,5.0,5.0,5.0,5.0,5.0,Good inventory direction; self-service link is appropriate.
142,2269042,AldiUK,@AldiUK will you be having any more of the wooden advent calendars in? Out of stock online & tried 3 local stores with no luck ☹️,product_inquiry_availability,product_inquiry_availability,ESCALATE_HUMAN,"Hello, thank you for contacting AldiUK. Your request regarding product inquiry availability requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
161,790372,JetBlue,I am never flying @JetBlue ever again... I have had the worst customer service in the last 24hrs getting from sfo fo ft Lauderdale!,complaint_poor_service,complaint_poor_service,ESCALATE_HUMAN,"Hello, thank you for contacting JetBlue. Your request regarding complaint poor service requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
162,5857,VirginTrains,.@VirginTrains I’m trying to get through on the phone to book bicycles onto services. Ive been on hold for ages? Any help available?,complaint_poor_service,complaint_poor_service,ESCALATE_HUMAN,"Hello, thank you for contacting VirginTrains. Your request regarding complaint poor service requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proper empathetic holding message; transfers to specialist without false promises.
