example_id,tweet_id,brand,customer_message,predicted_intent,routing_decision,agent_reply,relevance_1_to_5,correctness_1_to_5,groundedness_1_to_5,helpfulness_1_to_5,safety_1_to_5,overall_1_to_5,reviewer_comments
6,2263159,AskPlayStation,"@AskPlayStation hey guys, I’m having issues with the party settings. Join a party and I can hear the guy in it but he can’t hear me. My mic is 100% working and we both have NAT 2 type. And after a few it says cant talk due to NAT type. Didn’t know if you could help thanks",account_access_security,ESCALATE_HUMAN,"Hello, thank you for contacting AskPlayStation. Your request regarding account access security requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
16,1543528,airtel_care,@airtel_care @10152 ur ppl are sleeping .. i am waiting for revert,billing_payment_dispute,ESCALATE_HUMAN,"Hello, thank you for contacting airtel_care. Your request regarding billing payment dispute requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
43,2270247,Ask_Spectrum,Had a bit of @117890 internet outage for a bit...,service_outage_connectivity,AUTO_HANDLE,"Hello, thank you for reaching out to Ask_Spectrum. We have received your inquiry. Please send us a Direct Message with your details so we can look into this and assist you promptly.",,,,,,,
45,790985,HiltonHelp,@161609 do disappointed that yet again Hilton GardenInn Brussels will not let you choose room on the app !! Pointless offering it !,order_delivery_issue,ESCALATE_HUMAN,"Hello, thank you for contacting HiltonHelp. Your request regarding order delivery issue requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
57,1550664,VirginTrains,@VirginTrains this is long. https://t.co/GoJLmxYDJw,flight_travel_disruption,ESCALATE_HUMAN,"Hello, thank you for contacting VirginTrains. Your request regarding flight travel disruption requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
58,1557,DropboxSupport,We’re excited to announce the University of Cambridge is using Dropbox Business to power collaboration. https://t.co/SBIyDSyCDK https://t.co/3f69m3x5gF,flight_travel_disruption,ESCALATE_HUMAN,"Hello, thank you for contacting DropboxSupport. Your request regarding flight travel disruption requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
81,5743,asksalesforce,"This just in: Marketing Cloud is so difficult to use, i want to flip tables.

Nothing is intuitive. NOTHING.",flight_travel_disruption,ESCALATE_HUMAN,"Hello, thank you for contacting asksalesforce. Your request regarding flight travel disruption requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
89,2267243,AirAsiaSupport,@AirAsiaSupport setelah isi e form bagaimaan cara melihat berapa lama proses pengembaliannya??,flight_travel_disruption,ESCALATE_HUMAN,"Hello, thank you for contacting AirAsiaSupport. Your request regarding flight travel disruption requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
91,2268959,sainsburys,@sainsburys what can we do about this pizza disaster? It was your own make margherita stonebaked £3.00. Bought from Halifax yesterday. 🍕🍩#pizza #donut #pizzadonut #ovencleanerneeded https://t.co/4agFNOfeaQ,billing_payment_dispute,ESCALATE_HUMAN,"Hello, thank you for contacting sainsburys. Your request regarding billing payment dispute requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
92,2981824,VirginAmerica,plz tell me the Christmas fares are a joke @VirginAmerica. you were my #1 but you really suck rn and it hurts :/,billing_payment_dispute,ESCALATE_HUMAN,"Hello, thank you for contacting VirginAmerica. Your request regarding billing payment dispute requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
107,2269644,ATT,"Order a $800 phone,doesn't even ship for a week. Nice job @ATT #helloTmobile #horriblebuisness",order_delivery_issue,ESCALATE_HUMAN,"Hello, thank you for contacting ATT. Your request regarding order delivery issue requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
