id,brand,text,golden_intent,predicted_intent,confidence,top_similarity,ground_truth_decision,ground_truth_reason,agent_decision,agent_reason,is_match,case_type
1,AirAsiaSupport,@AirAsiaSupport hi! AirAsia delayed my flight and I did received an email on the changes but there is no link given on the email for,flight_travel_disruption,flight_travel_disruption,0.3148,0.23,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.31) below threshold (0.45),False,FALSE_POSITIVE
2,SouthwestAir,@120944 @SouthwestAir Is there a way to update a boarding pass to include pre-check? (Forgot to enter KTN before checking in online.),flight_travel_disruption,flight_travel_disruption,0.2259,0.2639,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.23) below threshold (0.45),False,FALSE_POSITIVE
3,SouthwestAir,@SouthwestAir SWA 2971 how the hell do you have a delay for 10 min scheduled maintenance 5 hours before the scheduled flight. That shit should have been done first thing in the morning before the flights began.,flight_travel_disruption,flight_travel_disruption,0.2386,0.1718,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.24) below threshold (0.45),False,FALSE_POSITIVE
4,AirAsiaSupport,@AirAsiaSupport I am struggling with your online chat support. We need to rebook onto a Bali > Singapore flight. Preferably Wednesday or 502 or 504 on Thursday (11/30) so we can make our flight back to the US...,flight_travel_disruption,flight_travel_disruption,0.4336,0.2293,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.43) below threshold (0.45),False,FALSE_POSITIVE
5,British_Airways,@British_Airways great lost luggage site BA! Link you texted automatically goes to local language with no clearly visible option to switch.,flight_travel_disruption,flight_travel_disruption,0.2442,0.2043,ESCALATE_HUMAN,Escalated severity or negative sentiment,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.24) below threshold (0.45),True,TRUE_POSITIVE
6,AmericanAir,"@AmericanAir just love to start my travels with a rude gate attendant, super awesome",flight_travel_disruption,flight_travel_disruption,0.2847,0.2276,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.28) below threshold (0.45),False,FALSE_POSITIVE
7,Delta,"First time flying @Delta, delayed an hour already. Should've just drove.",flight_travel_disruption,flight_travel_disruption,0.3603,0.2436,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.36) below threshold (0.45),False,FALSE_POSITIVE
8,AmericanAir,Delay.Ran from B12 to A5 in PDX. Missed flight. Rebooked to flight 10 min later. Ran back to B14. Thanks for the fitness class @AmericanAir,flight_travel_disruption,flight_travel_disruption,0.4577,0.2083,AUTO_HANDLE,Standard status or troubleshooting guidance,AUTO_HANDLE,High intent confidence (0.46) and strong historical grounding (0.21) for routine 'flight_travel_disruption' without risk triggers.,True,TRUE_NEGATIVE
9,VirginTrains,"@VirginTrains I’m filling out a Delay Repay form, however your system is unable to locate Accrington in Destination Station",flight_travel_disruption,flight_travel_disruption,0.1721,0.3201,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.17) below threshold (0.45),False,FALSE_POSITIVE
10,SouthwestAir,@SouthwestAir ABANDONED ME IN ORLANDO!! 25 empty seats on the flight. Plane still at gate&wouldn't let me on!! Outrageous !!! @513876,flight_travel_disruption,flight_travel_disruption,0.4694,0.2035,AUTO_HANDLE,Standard status or troubleshooting guidance,AUTO_HANDLE,High intent confidence (0.47) and strong historical grounding (0.20) for routine 'flight_travel_disruption' without risk triggers.,True,TRUE_NEGATIVE
11,GWRHelp,"@GWRHelp 2nd time in a week your app shows a delay of 3 min, then changes to on time (forcing me to rush to station) then an 11-min delay",flight_travel_disruption,flight_travel_disruption,0.1967,0.1612,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.20) below threshold (0.45),False,FALSE_POSITIVE
12,AirAsiaSupport,@115802 Baggage broken by rude mishandling of ground staff from Delhi to Goa.Awaiting response. https://t.co/zEnulXTGGc,flight_travel_disruption,flight_travel_disruption,0.1863,0.1949,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.19) below threshold (0.45),False,FALSE_POSITIVE
13,Delta,". @Delta on the way to Wisconsin I sat on the runway for an hour and a half and was delayed in the air for 45 mins before landing. Now my return flight is delayed 2 hours without explanation, only alternate flights are tomorrow... smh",flight_travel_disruption,flight_travel_disruption,0.4051,0.1944,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.41) below threshold (0.45),False,FALSE_POSITIVE
14,VirginTrains,@VirginTrains are a joke. Outward train delayed and return train cancelled. Ticket cost 71.50 but you only refund 38.50?! Your delay repay seems to be a load of shit! #badcustomerservice #virgintrainslie,flight_travel_disruption,flight_travel_disruption,0.184,0.2725,ESCALATE_HUMAN,Financial/Ticketing transactional action required,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.18) below threshold (0.45),True,TRUE_POSITIVE
15,AmericanAir,@AmericanAir Oh and having your gate people tells us to buy whatever we need besides water for our flight home...it’s a 6 hour flight.,flight_travel_disruption,flight_travel_disruption,0.5321,0.2443,AUTO_HANDLE,Standard status or troubleshooting guidance,AUTO_HANDLE,High intent confidence (0.53) and strong historical grounding (0.24) for routine 'flight_travel_disruption' without risk triggers.,True,TRUE_NEGATIVE
16,GWRHelp,@GWRHelp haven't heard anything from you and my train was two hours delayed. So what's the deal? https://t.co/BTn0RrlkJR,flight_travel_disruption,flight_travel_disruption,0.1714,0.2789,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.17) below threshold (0.45),False,FALSE_POSITIVE
17,British_Airways,"@British_Airways sat on flight BA 1375 delayed 3 hours . Never again; 😠👎
@VirginTrains is the future should never of changed #internelflight",flight_travel_disruption,flight_travel_disruption,0.4618,0.2641,AUTO_HANDLE,Standard status or troubleshooting guidance,AUTO_HANDLE,High intent confidence (0.46) and strong historical grounding (0.26) for routine 'flight_travel_disruption' without risk triggers.,True,TRUE_NEGATIVE
18,Delta,@Delta can 2 people travelling on the same booking pool their luggage allowance?,flight_travel_disruption,flight_travel_disruption,0.2734,0.1931,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.27) below threshold (0.45),False,FALSE_POSITIVE
