tweet_id,brand,text,intent
10885,Ask_Spectrum,@Ask_Spectrum outage of Fox during the world series in Northern Wisconsin? Only channel not working. #badtiming,service_outage_connectivity
1549637,TMobileHelp,@TMobileHelp umm wow my brother & I got new phone and you guys activated his phone using my number so now I don’t have a phone number??,account_access_security
11557,AskPayPal,"@115993 
Am trying to escalate a non received item that I want a refund on. Escalate system errors each time. Help please. Thx",subscription_cancellation_refund
2987545,UPSHelp,@115817 thanks for the broken package ruined my @90860 license plate frame https://t.co/ab87MO3wG2,order_delivery_issue
3300,Delta,@Delta Hi! Trying to cancel award booking that I booked in less than 24 hours online and it says that I have to pay to cancel. could you help me with cancellation?,flight_travel_disruption
2264128,Uber_Support,@115873 last night the driver stole my friend's phone and venmoed himself $300 from her account to his and you call that innocent?disturbing,order_delivery_issue
788869,idea_cares,Whole day I haven't called anyone and even in my @116331 app didn't show and deduction..Yet they charged me @idea_cares https://t.co/vuRgpIMH0B,billing_payment_dispute
1546764,Uber_Support,@115873 Driver refused to drop me at my destination so he could pick up another fare. Kicked me out on market Street carrying heavy boxes.,order_delivery_issue
2268222,AmericanAir,@AmericanAir I am being charged an extra $90 to take a flight I already paid for and have ticketed,billing_payment_dispute
2985878,ArgosHelpers,@ArgosHelpers Aw she already has him thanks! Santa at the shopping centre promised her one lol so fingers crossed it back in stock for xmas,product_inquiry_availability
2987103,UPSHelp,It would be kind of awesome if the @115817 driver chose a slightly different gum disposal spot than the box they delivered to me. https://t.co/UPdLx3ftwb,order_delivery_issue
3035,British_Airways,@British_Airways Thank you! Jane👍🏼,feedback_praise_resolution
1546,AskeBay,@AskeBay The delivery company is saying they delivered it to my street won't give address the seller is saying she has proof but no one will show me,order_delivery_issue
1548879,Uber_Support,My car just got charged $80 for a $6 Uber pool trip and I even tip that SOB.. This charge needs to be reversed or I am calling fraud @115873,billing_payment_dispute
2981018,Uber_Support,@115873 how was it that I was charged a wait time when my driver couldn't even follow his map and find me??,billing_payment_dispute
2981790,UPSHelp,@115817 @UPSHelp but why was it out for delivery yesterday and again today ? https://t.co/3N3A556uyh,order_delivery_issue
2264901,sprintcare,"Dear @115714 You officially win for the worst customer service I’ve ever experienced. Waited 1.5 MONTHS for a supervisor call, w/repeated calls by me in interim. 3 hrs on phone today resulting in trip to store only to find out your rep had lied to me about available offer. So",complaint_poor_service
2268659,TMobileHelp,"@TMobileHelp I switched over from GoogleFi from Speeds at over 40MB/s and now activated my line with you to only see <1.5Mbs, what's up with that for zip 94502? SAD. My other verizon phone gets 25Mbs+.",account_access_security
2984778,SpotifyCares,@SpotifyCares Thank you for the response!,feedback_praise_resolution
784334,AskPlayStation,"@AskPlayStation tried to sign into my account earlier and it said the information was incorrect, tried to reset password and it said error",account_access_security
1545879,AskLyft,@115879 worst customer service ever,complaint_poor_service
1547620,AppleSupport,"@AppleSupport after doing the software update 11.0.3 on my 6s with 64gb, it’s hanging for no reasons! Gud tool to sell 8 8+ X Y Z",technical_hardware_software_bug
788180,MicrosoftHelps,@MicrosoftHelps I can’t access my hotmail account. I’ve been locked out of it. I’ve tried the the usual things 🙄,account_access_security
2269767,Uber_Support,"@Uber_Support My gf & I attempted to use ur service to help w/our car troubles. W/her being new to the app, somehow her card was charged 3x totaling almost $30 for a less than 10 min ride....No ph# to reach your cus. service & the app help features R limited to say the least.",billing_payment_dispute
1548961,British_Airways,"@British_Airways I've tried to reach your customer service from the US to modify my next Monday flight for 3 weeks now but impossible to have someone on the call...Guys, Is there someone working here! 🤔",flight_travel_disruption
2985131,Ask_Spectrum,@Ask_Spectrum internet down in Manhattan 10032 😠😠😠😠😠 need to get work out,service_outage_connectivity
2983779,AppleSupport,@115858 you sneaky fucks. My phone keeps on turning off after that last update.,technical_hardware_software_bug
2266825,AmazonHelp,@AmazonHelp Reported..... Let's see. Hope for quick delivery. Tell ur associate company to improve its service.,order_delivery_issue
2985018,AirAsiaSupport,@AirAsiaSupport can refunds only be made 6 months after scheduled flight date??,flight_travel_disruption
2986221,SouthwestAir,@SouthwestAir Please advise how I get a refund for a Wifi charge when the Wifi was not working on my flight from Chi to Sea?,flight_travel_disruption
2986143,CoxHelp,@CoxHelp Internet outage in 70119?,service_outage_connectivity
784866,SpotifyCares,"@SpotifyCares Hi, someone change my email in my spotify, i can't recover my password or anything, can i have help pls ? Thanks.",account_access_security
1546085,Delta,@Delta I have 1.50pm flight tmrw but needed one that could fly me out today Nov 4 to help reach Mumbai in time. __email__ if u can help,flight_travel_disruption
1544081,British_Airways,@British_Airways I have spoken to Lisa and she has been very helpful and is taking care of everything. Thank you.,feedback_praise_resolution
2265084,SpotifyCares,"I tried logging my mom into her spotify and it said log in error 3, then I tried resetting her password with both her username and her email and this error shows up. Please help me get her back into her account. We are using a #spotifyfamily plan. I don't want it to go to waste. https://t.co/wqUXk0EgH1",account_access_security
2985011,AirAsiaSupport,@173705 @118341 We are stuck at #KualaLumpur airport for last 40 hours and no signs of return flight to India. Please help! @AirAsiaSupport @115802 #Bali,flight_travel_disruption
787696,Uber_Support,"I dont get why i should have a deficit , for a driver who didnt show up , wasted my time ,kept lying about his location. @115873 https://t.co/YMhjPZobSD",order_delivery_issue
785718,VirginTrains,"@VirginTrains @121516 Thanks for the reply! Will I be entitled to compensation and if so who do I claim from - @123241 , @121516 or @VirginTrains ?",feedback_praise_resolution
787019,IHGService,@IHGService Thank you!,feedback_praise_resolution
8204,UPSHelp,Second day in a row staying home to wait for a package from @115817 only to be met with a slip saying I wasn't home https://t.co/UqoREWMIz3,order_delivery_issue
1543848,AskeBay,@115937 thanks for that lack of help I got after my account was hacked.,account_access_security
10905,AskPlayStation,"@AskPlayStation Hi, can you update PS4 PRO TO RECORD GAMEPLAYS IN 4K?",technical_hardware_software_bug
2986254,AirAsiaSupport,"@AirAsiaSupport hello, I just want to double check about my flight today XT7520 (from CGK to DPS). Is is cancelled? Please reply ASAP",flight_travel_disruption
9169,AppleSupport,@AppleSupport iOS11.1 consumes battery pretty fast....,technical_hardware_software_bug
2981707,comcastcares,@116136 Is there currently an outage in Chicago?,service_outage_connectivity
8028,comcastcares,@comcastcares my internet is down a week after a technician came out to 'fix' it,service_outage_connectivity
1551526,comcastcares,"@116136 🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼 COMCAST! Every other day it’s an outage, or error code RDK03033 canceling tomorrow 10/30/17",service_outage_connectivity
2986562,UPSHelp,Hi @115817. Is it at all possible to change the address on a package in transit?,order_delivery_issue
5479,ChipotleTweets,"HAPPY HALLOWEEN! Thank you for the delicious BOOritos, @ChipotleTweets https://t.co/ahatGE5SvN",feedback_praise_resolution
2269734,Uber_Support,"@115873 in the last month I have been charged £16 for drivers cancelling. When complaining credited to my Uber account, not my credit card! Shambles of a company, dishonest, deserve to have all licences revoked. Thought it was an accident first time! #uber #taxi #poo #shambles",billing_payment_dispute
9559,Ask_Spectrum,"@Ask_Spectrum Appt. #7? If your techs return this time. 25 days, no internet. Disregard of your customers is repulsing..Maybe @117735 🤯😭🤢",service_outage_connectivity
2987476,Ask_Spectrum,@Ask_Spectrum There seems to be a fairly large internet outage. Do I need to contact a technician individually or is it a larger issue that's being worked on?,service_outage_connectivity
2265926,Delta,Thank you @Delta for quickly & efficiently rectifying a horrible experience my mother had to go through at the airport this morning via DM. That's the kind of customer service your members expect & 🧡. Hope my flight tomorrow morning is as enjoyable as this experience was. 👍,feedback_praise_resolution
2980232,AppleSupport,@AppleSupport tell me how to revert back to IOS 10. IOS 11 has made me want to get an android,technical_hardware_software_bug
2981607,AmazonHelp,"@115830 however, come 8pm, and no show of the courier from @115830, but instead a notice to say a delivery was attempted, but nobody was in...",order_delivery_issue
2266527,Uber_Support,@115873 doesn't care that I left my phone in an uber driver's car even though the driver himself made no effort to locate the phone or any effort to help at all in general,order_delivery_issue
2264582,UPSHelp,"@UPSHelp good evening, I've called the CS line twice about a missing package with a delivered status. Both times I was told I'd receive a call back within an hour. Still waiting for the follow up. Help?",order_delivery_issue
