id,tweet_id,brand,text,intent,source_row_id,notes
1,1544356,AirAsiaSupport,@AirAsiaSupport hi! AirAsia delayed my flight and I did received an email on the changes but there is no link given on the email for,flight_travel_disruption,42,"Verified flight/rail transit delay, baggage loss, or connection disruption."
2,2983770,SouthwestAir,@120944 @SouthwestAir Is there a way to update a boarding pass to include pre-check? (Forgot to enter KTN before checking in online.),flight_travel_disruption,6761,"Verified flight/rail transit delay, baggage loss, or connection disruption."
3,1550095,SouthwestAir,@SouthwestAir SWA 2971 how the hell do you have a delay for 10 min scheduled maintenance 5 hours before the scheduled flight. That shit should have been done first thing in the morning before the flights began.,flight_travel_disruption,773,"Verified flight/rail transit delay, baggage loss, or connection disruption."
4,2986293,AirAsiaSupport,@AirAsiaSupport I am struggling with your online chat support. We need to rebook onto a Bali > Singapore flight. Preferably Wednesday or 502 or 504 on Thursday (11/30) so we can make our flight back to the US...,flight_travel_disruption,4405,"Verified flight/rail transit delay, baggage loss, or connection disruption."
5,2986425,British_Airways,@British_Airways great lost luggage site BA! Link you texted automatically goes to local language with no clearly visible option to switch.,flight_travel_disruption,5952,"Verified flight/rail transit delay, baggage loss, or connection disruption."
6,1550171,AmericanAir,"@AmericanAir just love to start my travels with a rude gate attendant, super awesome",flight_travel_disruption,4450,"Verified flight/rail transit delay, baggage loss, or connection disruption."
7,787051,Delta,"First time flying @Delta, delayed an hour already. Should've just drove.",flight_travel_disruption,5995,"Verified flight/rail transit delay, baggage loss, or connection disruption."
8,1546107,AmericanAir,Delay.Ran from B12 to A5 in PDX. Missed flight. Rebooked to flight 10 min later. Ran back to B14. Thanks for the fitness class @AmericanAir,flight_travel_disruption,3733,"Verified flight/rail transit delay, baggage loss, or connection disruption. (Includes polite 'thanks'; operational intent prioritized per guide)."
9,785372,VirginTrains,"@VirginTrains I’m filling out a Delay Repay form, however your system is unable to locate Accrington in Destination Station",flight_travel_disruption,1882,"Verified flight/rail transit delay, baggage loss, or connection disruption."
10,2265774,SouthwestAir,@SouthwestAir ABANDONED ME IN ORLANDO!! 25 empty seats on the flight. Plane still at gate&wouldn't let me on!! Outrageous !!! @513876,flight_travel_disruption,6752,"Verified flight/rail transit delay, baggage loss, or connection disruption."
11,790147,GWRHelp,"@GWRHelp 2nd time in a week your app shows a delay of 3 min, then changes to on time (forcing me to rush to station) then an 11-min delay",flight_travel_disruption,2386,"Verified flight/rail transit delay, baggage loss, or connection disruption."
12,8416,AirAsiaSupport,@115802 Baggage broken by rude mishandling of ground staff from Delhi to Goa.Awaiting response. https://t.co/zEnulXTGGc,flight_travel_disruption,5062,"Verified flight/rail transit delay, baggage loss, or connection disruption."
13,3210,Delta,". @Delta on the way to Wisconsin I sat on the runway for an hour and a half and was delayed in the air for 45 mins before landing. Now my return flight is delayed 2 hours without explanation, only alternate flights are tomorrow... smh",flight_travel_disruption,1465,"Verified flight/rail transit delay, baggage loss, or connection disruption."
14,2267934,VirginTrains,@VirginTrains are a joke. Outward train delayed and return train cancelled. Ticket cost 71.50 but you only refund 38.50?! Your delay repay seems to be a load of shit! #badcustomerservice #virgintrainslie,flight_travel_disruption,9098,"Verified flight/rail transit delay, baggage loss, or connection disruption. (Mentions cancellation in airline context; travel disruption prioritized)."
15,1547122,AmericanAir,@AmericanAir Oh and having your gate people tells us to buy whatever we need besides water for our flight home...it’s a 6 hour flight.,flight_travel_disruption,3742,"Verified flight/rail transit delay, baggage loss, or connection disruption."
16,786878,GWRHelp,@GWRHelp haven't heard anything from you and my train was two hours delayed. So what's the deal? https://t.co/BTn0RrlkJR,flight_travel_disruption,1512,"Verified flight/rail transit delay, baggage loss, or connection disruption."
17,1549003,British_Airways,"@British_Airways sat on flight BA 1375 delayed 3 hours . Never again; 😠👎
@VirginTrains is the future should never of changed #internelflight",flight_travel_disruption,5254,"Verified flight/rail transit delay, baggage loss, or connection disruption."
18,8669,Delta,@Delta can 2 people travelling on the same booking pool their luggage allowance?,flight_travel_disruption,3191,"Verified flight/rail transit delay, baggage loss, or connection disruption."
19,2984451,GWRHelp,"Morning @GWRHelp. The 06.31 OLF is delayed, but no reason has been given. Can you tell me why, and of it is likely to run? Thanks.",flight_travel_disruption,7252,"Verified flight/rail transit delay, baggage loss, or connection disruption. (Includes polite 'thanks'; operational intent prioritized per guide)."
20,1550702,VirginTrains,@VirginTrains I was wondering why the 19:17 to Manchester Piccadilly from Euston is delayed?,flight_travel_disruption,6265,"Verified flight/rail transit delay, baggage loss, or connection disruption."
21,1249,AskeBay,"@AskeBay need assistance. Bought item, due to be delivered Saturday. Never received item, despite being marked as delivered. No response from seller, delivery services cannot assist with lost/missing package. Please advise.",order_delivery_issue,5214,"Verified parcel delivery delay, missing delivery items, or courier dispatch issue."
22,786422,Postmates_Help,Every time I order late night on postmates the driver always runs off with my food 👿,order_delivery_issue,2558,"Verified parcel delivery delay, missing delivery items, or courier dispatch issue."
23,1546894,DoorDash_Help,"Don't EVER use @116584 as a food delivery service, as it's abysmal. Waiting for Chinese for 90 minutes from a place 3 miles away.",order_delivery_issue,496,"Verified parcel delivery delay, missing delivery items, or courier dispatch issue."
24,2269775,Uber_Support,I can't with @115873. Ordered car. Was outside. Driver drove past me. I had bags. Was walking to him. He canceled. I had to pay $5 + ⬇🌟,order_delivery_issue,877,"Verified parcel delivery delay, missing delivery items, or courier dispatch issue."
25,792685,AmazonHelp,@115830 I had 2 sleeping toddlers when your delivery driver hammered on my door. Now I have my parcel and a sense of impending doom. #shh,order_delivery_issue,209,"Verified parcel delivery delay, missing delivery items, or courier dispatch issue."
26,786086,DoorDash_Help,"When did @116584 start charging an $8 DELIVERY FEE. 

I'm just tryna get some 1AM Burger King and they're over here draining my wallet",order_delivery_issue,12581,"Verified parcel delivery delay, missing delivery items, or courier dispatch issue."
27,1835,Tesco,hi @Tesco an answerphone message from your delivery driver ended with him saying 'fuck you' (he obviously thought he'd put the phone down),order_delivery_issue,7408,"Verified parcel delivery delay, missing delivery items, or courier dispatch issue."
28,1549527,Tesco,"@Tesco thanks for the non delivery with no explanation. 3-5 day refund, now without shopping or my money. @sainsburys @117249 may be better?",order_delivery_issue,7419,"Verified parcel delivery delay, missing delivery items, or courier dispatch issue. (Includes polite 'thanks'; operational intent prioritized per guide)."
29,2986750,Postmates_Help,Wow and now a @116057 @Postmates_Help driver closing out the order when nobody has arrived with my food...... https://t.co/BHdLLk7k5W,order_delivery_issue,740,"Verified parcel delivery delay, missing delivery items, or courier dispatch issue."
30,2268408,marksandspencer,@marksandspencer Received email today saying I was included in trial food delivery but when I tried to shop was told my postcode was not included! Can you explain this please to one very disappointed would-be shopper. Thank you,order_delivery_issue,3615,"Verified parcel delivery delay, missing delivery items, or courier dispatch issue."
31,1544172,AmazonHelp,"@115821 seems like Amazon is in no mood to deliver the product to #kolkata,second product not delivered on account ""prod damaged in transit""",order_delivery_issue,212,"Verified parcel delivery delay, missing delivery items, or courier dispatch issue."
32,1633,ArgosHelpers,@ArgosHelpers Terrible delivery service even worse paying extra for a time slot #3hourslate,order_delivery_issue,3768,"Verified parcel delivery delay, missing delivery items, or courier dispatch issue."
33,1547487,ArgosHelpers,"@116245 
I purchased this Monday with same-day delivery, but I haven't received all my items until today(Friday)...wonderful service..",order_delivery_issue,4466,"Verified parcel delivery delay, missing delivery items, or courier dispatch issue."
