id,tweet_id,brand,text,conversation_id,source_row_id
1,2196,ChipotleTweets,Adult trick-or-treating for me is going to as many @ChipotleTweets as I can find for #Booritos,2196,0
2,2268226,AmericanAir,"@AmericanAir you guys are normally solid but you've been an embassment tonight. If it was my first time flying with you, it would def be my last.",2268226,1
3,2984967,DoorDash_Help,@DoorDash_Help I ordered and your payment system wasn't updated on a vendor side and I can't even use the credit you gave me because your ordering process requires a $.50 charge? What is happening???,2984967,2
4,1547818,GWRHelp,@GWRHelp - is the Heathrow Connect running from Hanwell to Paddington this morning?,1547818,3
5,789562,KFC_UKI_Help,"@120984 Ordered the #DoubleDown burger with no bacon and they gave me it WITH ONLY bacon! No cheese, sauce, nothing. #SuperDryBurger",789562,4
6,2263159,AskPlayStation,"@AskPlayStation hey guys, I’m having issues with the party settings. Join a party and I can hear the guy in it but he can’t hear me. My mic is 100% working and we both have NAT 2 type. And after a few it says cant talk due to NAT type. Didn’t know if you could help thanks",2263159,5
7,9756,AsurionCares,Never use asurion mobile insurance again!! Complete scam!!,9756,6
8,2986580,AppleSupport,@AppleSupport quickquestion. My iphone literally overnight went from “battery fine lasting most of day” to “battery from 100% to 1% in an hour” any idea how this is possible? 😕,2986580,7
9,2985914,Walmart,I had three people and the Walmart security guard take pictures with me today I love Halloween 😈😂,2985914,8
10,2264397,LondonMidland,"@LondonMidland hey, Lon mid train from Eus last night was cancelled, I booked through virgin trains though so who do I contact to claim? Thx",2264397,9
11,2980453,marksandspencer,"@marksandspencer thanks to your super staff member Shona today at Oxford Street branch - really helpful, did a great job.",2980453,10
12,2264672,TMobileHelp,@TMobileHelp still holding my breath wating 4 a Spvr to call me about this bill which is never correct -every month bill drama😣,2264672,11
13,791162,O2,Great when you send your iPhone off to sell in great condition and get it back with a smashed screen.... @O2 explain this!,791162,12
14,2982294,GoDaddyHelp,"Just asking...is our company the only one that is constantly disappointed with @116068 email service? Every time we call with a outage, we're told there's nothing wrong. Please in the name of #customerservice train your people to provide it. https://t.co/5TDdjiiAFb",2982294,13
15,3130,TMobileHelp,@115714 I can’t believe you treat your customers this way unacceptable RUDE disgusting @115911 buy our contract or whatever it is,3130,14
16,1543528,airtel_care,@airtel_care @10152 ur ppl are sleeping .. i am waiting for revert,1543528,15
17,1543488,GoDaddyHelp,@40781 why your company cheating in India ? @118342 @164163 kindly take action on it @429430 @478146 @8210 https://t.co/JGgNp53s1Z,1543488,16
18,1550043,USCellularCares,Does anyone have a US Cellular iPhone they dont want or use?,1550043,17
19,786991,SCsupport,@scsupport https://t.co/IlOdIdGiAt Same happened to me is this a global issue,786991,18
20,10600,AskAmex,"@AskAmex my offers have all but disappeared, including many w/end of year expiration dates that I had previously added to my card https://t.co/g9GuoJLYuh",10600,19
21,2985179,VirginAtlantic,"""Ladies and Gentleman this is your captain speaking"", tweet us with your airport questions as we're here to help.",2985179,20
22,2984539,GoDaddyHelp,"@GoDaddyHelp Been getting ""Connection queue full"" - don't know what that means.",2984539,21
23,2983539,JackBox,Okay but honestly can you add extra cheese to @JackBox tacos?? 🌮 🌮,2983539,22
24,2984043,asksalesforce,"@117070, we can't access Sales Force right now. It especially hurts when we have a reporting deadline tomorrow.",2984043,23
25,2986031,idea_cares,@idea_cares I freaking know my pack expired and I have already recharged it. Can you freaking stop reminding me everyday? How long are you going to keep sending this? Until end of time? Absolutely terrible terrible terrible customer experience. @116590 https://t.co/3Ed4CYoJkg,2986031,24
26,2984782,SpotifyCares,@117153 is your website down? Keep getting the ‘uh oh’ screen when trying to check profile and update payment details??!,2984782,25
27,792534,BofA_Help,@116035 why is your transfer page always down?? AND there's no way to get ahold of any support from outside the US online.,792534,26
28,2265227,ATVIAssist,@ATVIAssist please help I can not find a game https://t.co/FUCqQyx3zT,2265227,27
29,1544383,AirbnbHelp,2/2 @115783 I've tried responding to the customer service agent I was speaking to and contacting you online multiple times with no response,1544383,28
30,2270329,GreggsOfficial,"Gutted my local @GreggsOfficial was all out of festive bakes today 😢. Had to settle for a chicken bake instead, still good though !",2270329,29
31,8208,SpotifyCares,@SpotifyCares hey my account which I pay for has become unmoored from my Facebook which I'm sure is what I'm registered with,8208,30
32,5731,Postmates_Help,@Postmates_Help hi! I was charged 55 dollars for my order when it said it was 36 bucks on the postmates app? Will that change? Thank you!,5731,31
33,1546860,NortonSupport,NortonがWiFiセキュリティとか出してたけど、あれで対応できんのかな？,1546860,32
34,784483,sainsburys,"@sainsburys I know that a bakers dozen is 13, but a bakers half dozen shouldn't be 4...!? https://t.co/zP1wNfIVBa",784483,33
35,784505,AdobeCare,Thank you @115777 for charginging me after cancelling months ago. Never even used the damn app,784505,34
36,2987491,AskAmex,@AskAmex How to close my serve account and card account ? I was planning to close it after I moved the balance in my card.,2987491,35
37,1545679,TacoBellTeam,"In a @118625 drive through line for 45 minutes. Could have made my own tacos by now. Line is blocked in, can't escape. I'm in Taco Hell",1545679,36
38,2987220,DropboxSupport,@DropboxSupport my other uploads are fine just dropbox has been vslow the last two days. Any suggestions?,2987220,37
39,791907,ArgosHelpers,"This #WinWednesday get a headstart on #ChristmasShopping by winning a K’NEX Thrill Rides Web Weaver, out now @116245! RT+Foll by 19.10 https://t.co/6oxfYylono",791907,38
40,789362,AmericanAir,"@AmericanAir, in last 2wks was delayed a day at ZRH, then hour wait for gate at DFW, now delayed at PBI for late fly attend. What gives?",789362,39
41,2268153,GWRHelp,"Parked my bike at #Blackwater station today. Gone when returned, in full view of CCTV @GWRHelp https://t.co/UX3ar2yebr",2268153,40
42,1545507,British_Airways,@British_Airways Please sort out your crappy lounge in Manchester. Invest some love in to the tired space...,1545507,41
43,2270247,Ask_Spectrum,Had a bit of @117890 internet outage for a bit...,2270247,42
44,2984711,IHGService,@118916 big fail at booking family room using points - what is the point of your app,2984711,43
45,790985,HiltonHelp,@161609 do disappointed that yet again Hilton GardenInn Brussels will not let you choose room on the app !! Pointless offering it !,790985,44
46,784493,MTNC_Care,Le Ya Mo c'est la Life ! #MtnYaMo *220# @124257 @307220 🔥 https://t.co/3AO2MHxU7Y,784493,45
47,2984944,AskTarget,@116062 there seems to be a problem with my online order...🤦🏼‍♀️ https://t.co/r0QYYJr0Fe,2984944,46
48,1544920,idea_cares,"@idea_cares.It's very irritating dat I am getting multiple calls for Adhaar updation, which is already updated. Stop dis nonsense now or 1/2",1544920,47
49,2486,AsurionCares,"@AsurionCares just got off the phone w/ a rep, Austin, can I just say that was one of the best customer service experiences I’ve ever had!",2486,48
50,1601,XboxSupport,@XboxSupport who would I message for backwards compatible game suggestions 2 great games have sat on the fourms since 2015 https://t.co/Hv4lYsUelZ,1601,49
51,2985337,sizehelpteam,@sizehelpteam please contact me about my order that still hasn’t been shipped. Thank you 🤝,2985337,50
